"","Federal Provider Number","facility_size","allshortages_ppe","allshortages_staff","Provider State","totdeaths_residents","anyshortage_staff","anyshortage_ppe"
"1","015009","1",0,30,"AL",106.4,"1","0"
"2","015012","1",0,29,"AL",107.1,"1","0"
"3","015014","1",0,6,"AL",0,"1","0"
"4","015015","2",0,29,"AL",0,"1","0"
"5","015019","2",2,3,"AL",89.6,"1","1"
"6","015023","2",1,25,"AL",263.2,"1","1"
"7","015024","2",0,24,"AL",102.8,"1","0"
"8","015027","2",0,29,"AL",55.6,"1","0"
"9","015027","1",0,29,"AL",55.6,"1","0"
"10","015028","2",0,30,"AL",35.1,"1","0"
"11","015031","2",0,29,"AL",34.2,"1","0"
"12","015032","2",0,0,"AL",94.1,"0","0"
"13","015035","2",0,0,"AL",83.3,"0","0"
"14","015040","2",0,2,"AL",168.8,"1","0"
"15","015042","2",0,30,"AL",49.2,"1","0"
"16","015042","1",0,30,"AL",49.2,"1","0"
"17","015044","1",0,28,"AL",282.1,"1","0"
"18","015045","2",1,24,"AL",12.3,"1","1"
"19","015048","1",0,29,"AL",0,"1","0"
"20","015049","2",0,0,"AL",26,"0","0"
"21","015050","1",0,2,"AL",16.7,"1","0"
"22","015053","1",0,30,"AL",127,"1","0"
"23","015060","1",0,10,"AL",20.4,"1","0"
"24","015063","2",0,27,"AL",218.8,"1","0"
"25","015066","1",0,30,"AL",0,"1","0"
"26","015067","2",1,30,"AL",15.9,"1","1"
"27","015071","1",0,1,"AL",108.1,"1","0"
"28","015073","2",0,30,"AL",22.6,"1","0"
"29","015075","2",0,26,"AL",273.4,"1","0"
"30","015076","2",0,30,"AL",29.3,"1","0"
"31","015083","2",0,30,"AL",34.1,"1","0"
"32","015084","2",0,4,"AL",170.7,"1","0"
"33","015089","1",1,3,"AL",130.4,"1","1"
"34","015091","2",0,29,"AL",69.2,"1","0"
"35","015098","2",0,22,"AL",321.4,"1","0"
"36","015100","2",0,0,"AL",51,"0","0"
"37","015101","1",0,30,"AL",138.9,"1","0"
"38","015111","2",0,2,"AL",127.1,"1","0"
"39","015112","2",0,30,"AL",72.5,"1","0"
"40","015113","2",1,29,"AL",0,"1","1"
"41","015114","2",0,16,"AL",68.5,"1","0"
"42","015116","2",1,28,"AL",94.1,"1","1"
"43","015121","1",0,0,"AL",96.2,"0","0"
"44","015123","1",0,9,"AL",55.6,"1","0"
"45","015124","1",0,23,"AL",236.4,"1","0"
"46","015126","2",0,0,"AL",135.1,"0","0"
"47","015127","2",0,0,"AL",108.7,"0","0"
"48","015128","2",0,8,"AL",362.5,"1","0"
"49","015129","2",0,0,"AL",100,"0","0"
"50","015132","2",0,6,"AL",103.8,"1","0"
"51","015133","2",0,30,"AL",0,"1","0"
"52","015134","2",0,30,"AL",27.8,"1","0"
"53","015135","1",0,1,"AL",100,"1","0"
"54","015136","2",0,0,"AL",135.1,"0","0"
"55","015137","1",0,30,"AL",69.4,"1","0"
"56","015141","1",0,0,"AL",0,"0","0"
"57","015143","2",0,5,"AL",214.9,"1","0"
"58","015144","2",1,29,"AL",51.1,"1","1"
"59","015145","2",0,2,"AL",163.5,"1","0"
"60","015147","2",2,30,"AL",20.2,"1","1"
"61","015148","1",0,10,"AL",75,"1","0"
"62","015149","1",0,30,"AL",0,"1","0"
"63","015150","1",0,0,"AL",169,"0","0"
"64","015151","2",0,7,"AL",12.8,"1","0"
"65","015152","2",0,17,"AL",145.2,"1","0"
"66","015153","2",0,29,"AL",180.9,"1","0"
"67","015154","2",0,8,"AL",45.5,"1","0"
"68","015155","2",0,29,"AL",252.7,"1","0"
"69","015156","2",0,6,"AL",22,"1","0"
"70","015157","1",0,30,"AL",23.8,"1","0"
"71","015158","1",0,0,"AL",38.5,"0","0"
"72","015159","2",0,28,"AL",150.5,"1","0"
"73","015160","2",0,0,"AL",100,"0","0"
"74","015162","2",0,30,"AL",28.1,"1","0"
"75","015163","2",0,30,"AL",95.6,"1","0"
"76","015167","1",0,4,"AL",135.6,"1","0"
"77","015169","2",0,30,"AL",193,"1","0"
"78","015171","2",1,27,"AL",117.6,"1","1"
"79","015174","2",0,30,"AL",108.7,"1","0"
"80","015175","2",0,23,"AL",219.7,"1","0"
"81","015176","2",0,30,"AL",210.1,"1","0"
"82","015177","1",0,11,"AL",17.2,"1","0"
"83","015179","1",0,29,"AL",0,"1","0"
"84","015180","2",0,30,"AL",145.3,"1","0"
"85","015183","2",0,25,"AL",110.2,"1","0"
"86","015184","2",0,29,"AL",90.9,"1","0"
"87","015188","1",0,30,"AL",0,"1","0"
"88","015189","1",0,9,"AL",333.3,"1","0"
"89","015192","2",0,0,"AL",188.7,"0","0"
"90","015193","2",1,14,"AL",395.8,"1","1"
"91","015194","1",0,27,"AL",200,"1","0"
"92","015196","1",0,2,"AL",140.6,"1","0"
"93","015197","1",0,0,"AL",20,"0","0"
"94","015199","2",0,0,"AL",85.9,"0","0"
"95","015200","2",0,0,"AL",160.6,"0","0"
"96","015201","1",0,13,"AL",0,"1","0"
"97","015202","2",0,30,"AL",77.5,"1","0"
"98","015204","1",0,8,"AL",38.5,"1","0"
"99","015206","2",0,13,"AL",145.2,"1","0"
"100","015207","2",0,30,"AL",270.5,"1","0"
"101","015208","2",0,30,"AL",313.4,"1","0"
"102","015209","2",0,2,"AL",224.1,"1","0"
"103","015212","2",0,28,"AL",173.9,"1","0"
"104","015213","2",0,0,"AL",22.7,"0","0"
"105","015214","1",0,0,"AL",0,"0","0"
"106","015215","2",0,30,"AL",170.2,"1","0"
"107","015216","2",0,29,"AL",209.3,"1","0"
"108","015217","2",0,30,"AL",35.7,"1","0"
"109","015220","1",0,0,"AL",48.4,"0","0"
"110","015221","2",0,26,"AL",7.5,"1","0"
"111","015222","2",0,22,"AL",34.5,"1","0"
"112","015223","2",0,28,"AL",12.5,"1","0"
"113","015225","2",0,30,"AL",131.9,"1","0"
"114","015227","2",0,18,"AL",195.4,"1","0"
"115","015303","2",0,28,"AL",17.5,"1","0"
"116","015315","1",0,29,"AL",29.4,"1","0"
"117","015320","2",0,10,"AL",57.1,"1","0"
"118","015322","1",0,30,"AL",46.2,"1","0"
"119","015361","1",1,0,"AL",279.1,"0","1"
"120","015369","2",0,29,"AL",377,"1","0"
"121","015372","1",0,9,"AL",19.2,"1","0"
"122","015373","2",1,0,"AL",68.5,"0","1"
"123","015374","1",1,6,"AL",127.7,"1","1"
"124","015375","1",0,28,"AL",0,"1","0"
"125","015376","2",0,3,"AL",239.6,"1","0"
"126","015378","1",0,10,"AL",18.2,"1","0"
"127","015379","2",0,30,"AL",83.3,"1","0"
"128","015381","1",0,30,"AL",37,"1","0"
"129","015382","2",0,3,"AL",53.2,"1","0"
"130","015383","2",0,30,"AL",115.8,"1","0"
"131","015386","1",0,30,"AL",0,"1","0"
"132","015388","2",0,30,"AL",60.6,"1","0"
"133","015390","2",0,29,"AL",84.7,"1","0"
"134","015392","1",0,30,"AL",36.4,"1","0"
"135","015393","2",0,0,"AL",84,"0","0"
"136","015396","1",0,1,"AL",189.7,"1","0"
"137","015397","2",0,23,"AL",22,"1","0"
"138","015400","1",0,3,"AL",122,"1","0"
"139","015402","1",0,12,"AL",359,"1","0"
"140","015404","1",0,2,"AL",500,"1","0"
"141","015406","1",0,6,"AL",0,"1","0"
"142","015411","2",0,19,"AL",119.3,"1","0"
"143","015414","1",0,19,"AL",50,"1","0"
"144","015416","2",0,29,"AL",102.3,"1","0"
"145","015417","1",0,13,"AL",66.7,"1","0"
"146","015419","1",0,28,"AL",155.2,"1","0"
"147","015420","2",0,1,"AL",62.5,"1","0"
"148","015422","2",0,30,"AL",161.3,"1","0"
"149","015423","1",0,30,"AL",0,"1","0"
"150","015424","1",0,14,"AL",142.9,"1","0"
"151","015425","2",0,28,"AL",0,"1","0"
"152","015426","1",0,24,"AL",0,"1","0"
"153","015429","2",0,23,"AL",53.2,"1","0"
"154","015433","2",0,26,"AL",26.3,"1","0"
"155","015434","2",0,2,"AL",253.5,"1","0"
"156","015435","2",0,29,"AL",0,"1","0"
"157","015436","2",0,30,"AL",137.9,"1","0"
"158","015437","2",0,30,"AL",216.7,"1","0"
"159","015442","1",0,12,"AL",80,"1","0"
"160","015443","2",0,0,"AL",0,"0","0"
"161","015446","1",1,28,"AL",70.4,"1","1"
"162","015447","1",0,29,"AL",40,"1","0"
"163","015448","1",0,30,"AL",60,"1","0"
"164","015450","1",0,30,"AL",27,"1","0"
"165","015452","1",0,1,"AL",0,"1","0"
"166","015454","1",0,27,"AL",181.8,"1","0"
"167","015455","2",0,28,"AL",0,"1","0"
"168","015457","1",0,10,"AL",194.4,"1","0"
"169","015458","1",0,7,"AL",0,"1","0"
"170","015459","1",1,29,"AL",41.7,"1","1"
"171","015460","1",0,30,"AL",46.5,"1","0"
"172","015463","1",0,0,"AL",411.8,"0","0"
